Warehouse Number	Address	City	State	Zip Code	Phone Number	Opening Date	Latitude 	Longitude
367	2125 Matthews Township Pkwy	Matthews	North Carolina	28105-5766	(704) 321-7440	11/29/01	35.127159	-80.703785
330	10 Monocacy Blvd.	Frederick	Maryland	21701-6554	(301) 644-1483	12/1/01	39.404509	-77.393326
325	7077 Arundel Mills Circle	Hanover	Maryland	21076-1387	(410) 379-3103	12/1/01	39.15481	-76.729967
371	505 W. Army Trail Road	Bloomingdale	Illinois	60108-1391	(630) 351-3059	12/7/01	41.939714	-88.131311
686	9404 Central Avenue	Montclair	California	91763-2421	(909) 575-5004	12/11/01	34.083127	-117.689806
369	12221 Blue Valley Parkway	Overland Park	Kansas	66213	(913) 217-2053	2/21/02	38.907086	-94.672973
678	11800 4th Street	Rancho Cucamonga	California	91739-9318	(909) 581-1703	5/29/02	34.077372	-117.546831
690	27220 Heather Ridge Road	Laguna Niguel	California	92677	(949) 389-8703	6/6/02	33.568688	-117.712047
687	525 Alakawa Street	Iwilei (Oahu)	Hawaii	96817	(808) 526-6103	6/12/02	21.317909	-157.873394
332	202 Costco Drive	Pittsburgh	Pennsylvania	15205	(412) 490-2204	7/9/02	40.457991	-80.166641
340	3102 Plank Road #600	Fredericksburg	Virginia	22407	(540) 785-1163	7/10/02	38.294858	-77.51617
693	1201 N. Loop 1604 East	San Antonio	Texas	78232	(210) 403-4700	7/11/02	29.610805	-98.475742
688	3800 Rosedale Highway	Bakersfield	California	93308	(661) 852-2643	8/8/02	35.383491	-119.049454
326	1 Westchester Ave.	Port Chester	New York	10573	(914) 935-3103	8/29/02	40.999739	-73.660939
658	3250 W. Grant Line Road	Tracy	California	95377	(209) 830-5340	9/17/02	37.753916	-121.475571
659	5901 Redwood Drive	Rohnert Park	California	94928	(707) 540-9113	9/18/02	38.352436	-122.715129
368	4200 Rusty Road	St. Louis	Missouri	63128-1973	(314) 894-7953	9/20/02	38.51109	-90.339926
347	9010 Michigan Road	Indianapolis	Indiana	46268	(317) 532-1608	10/3/02	39.917047	-86.22549
346	6110 East 86th Street	Castleton	Indiana	46250	(317) 558-1453	10/3/02	39.912608	-86.065837
691	10000 W. McDowell Road	Avondale	Arizona	85323	(623) 907-5663	10/11/02	33.464901	-112.274875
348	2900 Patriot Blvd	Glenview	Illinois	60026	(847) 730-1003	10/17/02	42.106635	-87.822397
344	1409 Golden Gate Blvd.	Cleveland	Ohio	44124-1808	(440) 544-1350	10/22/02	41.522089	-81.449314
345	17800 Congress Avenue	Boca Raton	Florida	33487	(561) 981-5004	11/8/02	26.412456	-80.101781
333	2 Mystic View Road	Everett	Massachusetts	2149	(617) 544-4806	11/21/02	42.401444	-71.070587
657	7100 N. Abby Street	Fresno	California	93720	(559) 437-3643	11/26/02	36.838893	-119.789619
694	1051 Hume Way	Vacaville	California	95687	(707) 453-7343	12/6/02	38.350077	-121.980576
343	35804 Detroit Road	Avon	Ohio	44011	(440) 930-0103	12/10/02	41.458234	-82.015592
764	5201 South Intermountain Drive	Murray	Utah	84107	(801) 290-4200	2/14/03	40.658202	-111.890538
762	1141 West Avenue L	Lancaster	California	93534-7077	(661) 802-4470	2/20/03	34.660534	-118.149209
761	2051 S. Cole Road	Boise	Idaho	83709-2815	(208) 321-8703	2/28/03	43.584851	-116.274274
760	7251 Camino Arroyo	Gilroy	California	95020	(408) 848-0700	3/1/03	37.008603	-121.554591
336	2655 Gulf to Bay Blvd.	Clearwater	Florida	33759	(727) 373-1951	5/15/03	27.960343	-82.728112
765	1800 Cavitt Court	Folsom	California	95630-6235	(916) 850-1000	5/23/03	38.646312	-121.110872
342	1320 S. Route 59	Naperville	Illinois	60564	(630) 328-2900	7/1/03	41.745816	-88.20577
766	25900 SW Heather Place	Wilsonville	Oregon	97070-5785	(503) 825-4003	7/24/03	45.333068	-122.766024
341	3000 Commerce Crossing	Commerce Tnshp	Michigan	48390	(248) 529-2300	9/25/03	42.534843	-83.445182
334	14390 Chantilly Crossing Lane	Chantilly	Virginia	20151-2117	(703) 885-5544	10/9/03	38.897609	-77.444741
769	3560 West Century Blvd	Inglewood	California	90303-1201	(310) 242-2777	10/30/03	33.945388	-118.334279
767	3900 20th St. East	Fife	Washington	98424-1818	(253) 719-1953	11/12/03	47.238878	-122.37487
768	6101 Gateway West Blvd	El Paso	Texas	79925	(915) 774-5203	11/13/03	31.781987	-106.41123
770	3656 Wall Avenue	Ogden	Utah	84405-7101	(801) 317-3950	11/18/03	41.19692	-111.979252
362	3650 Galleria Circle	Hoover	Alabama	35244-2346	(205) 909-1039	11/20/03	33.378987	-86.811577
339	4201 West Wendover Ave	Greensboro	North Carolina	27407-1908	(336) 291-4013	11/21/03	36.058741	-79.885653
771	7000 Auburn Blvd	Citrus Heights	California	95621-4342	(916) 560-4000	12/1/03	38.692255	-121.296886
338	1021 Oak Forest Lane	Myrtle Beach	South Carolina	29577-9795	(843) 839-6604	3/18/04	33.70696	-78.915668
773	355 East Neider Avenue	Coeur D\'Alene	Idaho	83815-3723	(208) 676-7350	4/1/04	47.708143	-116.782242
775	12155 Tech Center Drive	Poway	California	92064-7156	(858) 848-2450	6/26/04	32.937502	-117.036298
774	250 N. Randall Rd.	Lake in the Hills	Illinois	60156-5943	(847) 960-9909	7/8/04	42.179031	-88.336518
337	1300 Edwards Ferry Road	Leesburg	Virginia	20176-3355	(703) 669-5060	7/28/04	39.114	-77.533714
780	75 Freshwater Blvd	Enfield	Connecticut	06082-3854	(860) 394-2001	7/29/04	41.992351	-72.576558
683	851 S. State Hwy 121	Lewisville	Texas	75067-4158	(469) 948-1026	8/25/04	32.997327	-96.963311
782	2955 North Tegner Road	Turlock	California	95380	(209) 656-5301	8/26/04	37.520063	-120.887469
772	6720 NE 84th Street	Vancouver	Washington	98665-2016	(360) 828-2262	8/27/04	45.683986	-122.603726
781	1130 Broadway	Chula Vista	California	91911-2707	(619) 205-1501	9/1/04	32.608973	-117.081104
779	999 N. Elmhurst Road	Mount Prospect	Illinois	60056	(847) 660-2000	10/13/04	42.083184	-87.9368
788	7205 Mills Civic Parkway	West Des Moines	Iowa	50266-8140	(515) 222-2920	11/1/04	41.561496	-93.806554
783	12011 Technology Drive	Eden Prairie	Minnesota	55344-3620	(952) 943-4800	11/18/04	44.862014	-93.434655
786	6700 Whitmore Lake Rd	Brighton	Michigan	48116-2160	(810) 220-8950	12/8/04	42.504143	-83.759308
784	5100 28th Street SE	Grand Rapids	Michigan	49512-2049	(616) 233-4401	12/9/04	42.912576	-85.542381
749	100 Centerton Road	Mount Laurel	New Jersey	08054-6103	(856) 359-3650	3/3/05	39.971278	-74.911687
778	43621 Pacific Commons Blvd	Fremont	California	94538-3809	(510) 897-1091	3/17/05	37.502574	-121.971735
743	2855 Jordan Ct	Alpharetta	Georgia	30004-3869	(678) 823-4950	6/4/05	34.090726	-84.277166
744	4901 Wilson Avenue	Wyoming	Michigan	49418-8788	(616) 406-2651	6/16/05	42.876094	-85.762732
748	5401 Katella Ave	Cypress	California	90720	(562) 668-5150	7/14/05	33.803196	-118.038469
747	24008 Snohomish-Woodinville Rd SE	Woodinville	Washington	98072-9743	(425) 806-7700	8/26/05	47.779498	-122.146637
741	1540 Froom Ranch Way	San Luis Obispo	California	93405-7211	(805) 541-7000	9/15/05	35.251888	-120.689035
742	15915 Pines Blvd	Pembroke Pines	Florida	33027-1201	(954) 266-3460	10/14/05	26.00789	-80.359657
745	2330 US Highway 93 N	Kalispell	Montana	59901-2547	(406) 758-2500	10/21/05	48.234407	-114.330752
777	101 N Beach Blvd	La Habra	California	90631-4468	(562) 524-0001	10/26/05	33.932086	-117.968113
737	6555 N Decatur Blvd	Las Vegas	Nevada	89131-2796	(702) 415-2300	10/27/05	36.277486	-115.206714
738	2450 E Beardsley Rd	Phoenix	Arizona	85050-1300	(480) 375-2850	11/11/05	33.669623	-112.03004
692	1255 NE 48th Ave	Hillsboro	Oregon	97124-5008	(503) 681-2800	11/17/05	45.534479	-122.933932
736	595 S Galleria Way	Chandler	Arizona	85226-4932	(480) 375-2051	12/1/05	33.294576	-111.899032
643	4900 Panama Lane	Bakersfield	California	93308	(661) 398-4750	4/26/06	35.29596	-119.056737
366	1550 Mall of Georgia Blvd	Buford	Georgia	30519-6551	(678) 288-3009	5/3/06	34.061614	-83.995316
644	2887 S Market St	Gilbert	Arizona	85296-6303	(480) 366-3950	5/4/06	33.296984	-111.74859
746	29315 Central Ave	Lake Elsinore	California	92532-2212	(951) 253-6030	5/5/06	33.694977	-117.334477
740	1470 Marvin Rd NE	Lacey	Washington	98516-3870	(360) 412-3500	7/18/06	47.05993	-122.764472
639	955 West Washington St	Sequim	Washington	98382-3266	(360) 406-2023	8/17/06	48.078633	-123.126156
639	955 West Washington St	Sequim	Washington	98382-3266	(360) 406-2023	8/17/06	48.078633	-123.126156
734	16700 N Marketplace Blvd	Nampa	Idaho	83687-7909	(208) 465-3810	8/23/06	43.614052	-116.59131
733	198 North 1200 East	Lehi	Utah	84043-2294	(801) 653-2710	8/24/06	40.389885	-111.826691
646	4810 Galleria Parkway	Sparks	Nevada	89436-9605	(775) 356-4400	8/25/06	39.582488	-119.7368
642	16616 Twin Lakes Ave	Marysville	Washington	98271-4701	(360) 652-4530	9/21/06	48.147071	-122.188728
640	4300 Nuhou St	Lihue	Hawaii	96766-8002	(808) 241-4000	10/17/06	21.966207	-159.379784
637	170 Cooley Mesa Rd	Gypsum	Colorado	81637-9707	(970) 328-7601	10/20/06	39.64345	-106.888929
645	2838 Wake Forest Rd	Raleigh	North Carolina	27609-7840	(919) 755-2801	10/25/06	35.819171	-78.624095
634	5020 Norton Healthcare Blvd	Louisville	Kentucky	40241-2835	(502) 420-0170	10/26/06	38.314966	-85.575074
648	11330 Fountains Dr N	Maple Grove	Minnesota	55369-7200	(763) 494-8050	10/27/06	45.091701	-93.424209
630	6670 Charlotte Pike	Nashville	Tennessee	37209-4202	(615) 354-5100	11/14/06	36.137384	-86.882867
631	2900 Cumberland Mall	Atlanta	Georgia	30339-8107	(770) 431-1700	11/15/06	33.881385	-84.467067
627	16505 Sierra Lakes Parkway	Fontana	California	92336	(909) 770-5639	11/17/06	34.138521	-117.443747
638	79795 Hwy 111	La Quinta	California	92253	(760) 775-0370	11/22/06	33.707108	-116.272281
633	2195 E Custer Ave	Helena	Montana	59602-1217	(406) 495-7040	11/28/06	46.61659	-111.997627
632	1500 Gemini Place	Columbus	Ohio	43240-7002	(614) 987-1900	11/29/06	40.148544	-82.977471
647	9915 W 159th St	Orland Park	Illinois	60467-4572	(708) 645-5336	11/30/06	41.601098	-87.8602
629	16375 N Washington St	Thornton	Colorado	80023-8907	(303) 474-3245	2/21/07	39.993388	-104.978402
649	501 W Waterfront Dr	West Homestead	Pennsylvania	15120-5009	(412) 205-1002	3/8/07	40.403823	-79.920262
621	10088 Gulf Center Drive	Fort Myers	Florida	33913-8961	(239) 433-7242	4/12/07	26.488717	-81.786306
623	11001 Southern Blvd - Ste 160	Royal Palm Beach	Florida	33411-4240	(561) 803-8820	4/13/07	26.681125	-80.218562
1001	2700 Park Ave	Tustin	California	92782-2708	(714) 338-1933	6/7/07	33.698181	-117.824643
1008	211 W Blackstock Rd	Spartanburg	South Carolina	29301-1382	(864) 515-4940	8/15/07	34.939252	-81.991329
1005	1021 Woodruff Rd	Greenville	South Carolina	29607-4108	(864) 297-2560	8/16/07	34.83597	-82.312969
1004	1709 Automation Parkway	San Jose	California	95131-1866	(408) 678-2150	8/23/07	37.389239	-121.883251
1007	3405 West Central Ave	Toledo	Ohio	43606-1402	(419) 381-5000	8/29/07	41.677196	-83.626067
628	950 Port Washington Rd	Grafton	Wisconsin	53024-9201	(262) 204-1050	8/30/07	43.31041	-87.924802
1011	2100 Dr Martin Luther King Jr Way	Chico	California	95928-4422	(530) 332-1740	9/28/07	39.72291	-121.810157
1010	14555 Valley Center Drive	Victorville	California	92392-4216	(760) 524-9904	10/2/07	34.515393	-117.319573
1009	8251 Eastchase Parkway	Montgomery	Alabama	36117	(334) 270-7460	10/4/07	32.364332	-86.140767
1000	6675 Marie Curie Drive	Elkridge	Maryland	21075-6457	(410) 423-4052	10/5/07	39.18673	-76.794937
1006	15330 IH-35 North	Selma	Texas	78154-3814	(210) 332-1072	10/17/07	29.577884	-98.318589
1012	12300 West Dodge Rd	Omaha	Nebraska	68154-2382	(402) 952-3240	10/18/07	41.263559	-96.104773
1013	2310 Longfibre Rd	Union Gap	Washington	98903-1513	(509) 454-5240	10/31/07	46.561741	-120.49665
1017	1405 W Cameron Ave	Visalia	California	93277-9527	(559) 735-2400	11/1/07	36.294138	-119.318548
624	10990 Harbor Hill Dr	Gig Harbor	Washington	98335	(253) 853-8600	11/2/07	47.358133	-122.601163
1016	9955 Coors Bypass NW	Albuquerque	New Mexico	87114-5963	(505) 922-7400	12/7/07	35.194554	-106.65748
1014	5885 Barnes Road	Colorado Springs	Colorado	80922-3512	(719) 591-3000	2/20/08	38.893358	-104.718057
1003	2299 Bronze Star Drive	Woodland	California	95776-5409	(530) 406-2120	2/22/08	38.669984	-121.724059
1026	4067 Lagniappe Way	Tallahassee	Florida	32317-1201	(850) 219-2500	4/9/08	30.462738	-84.214734
1015	520 N Lone Hill Ave	San Dimas	California	91773-1725	(909) 962-5507	5/16/08	34.112427	-117.828694
1025	245 Stafford Park Blvd	Stafford Township	New Jersey	08050-2734	(609) 242-2011	5/29/08	39.709654	-74.286927
1023	13450 SW 120th St	Kendall	Florida	33186-7393	(305) 964-4227	5/30/08	25.6562	-80.412506
1028	1444 S Sossaman Rd	Mesa	Arizona	85209-3400	(480) 333-6550	6/5/08	33.389225	-111.667683
739	465 Route 70	Brick	New Jersey	08723-4049	(732) 262-6300	8/1/08	40.056345	-74.155005
1002	2201 Verne Roberts Circle	Antioch	California	94509-7911	(925) 470-4603	8/13/08	38.009856	-121.83862
1031	2440 Daniels St	Manteca	California	95336-6745	(209) 825-8200	8/14/08	37.78634	-121.256909
1020	2150 Deming Way	Middleton	Wisconsin	53562-5507	(608) 824-3950	8/20/08	43.097724	-89.523653
1027	4000 River Point Parkway	Sheridan	Colorado	80110-3316	(303) 200-1830	8/21/08	39.645129	-105.008454
1022	18414 Cottonwood Dr	Parker	Colorado	80138-8876	(303) 583-1937	8/22/08	39.558634	-104.776266
1021	1431 Beam Ave	Maplewood	Minnesota	55109-1064	(612) 486-1738	8/28/08	45.028178	-93.040949
1018	3836 Richmond Ave	Houston	Texas	77027-5802	(832) 325-5850	10/22/08	29.732819	-95.438941
1033	305 West Quinn Rd	Pocatello	Idaho	83201-4988	(208) 238-4040	10/23/08	42.905718	-112.45512
1029	27520 Covington Way SE	Covington	Washington	98042	(253) 796-1002	10/25/08	47.353816	-122.12213
1039	16006 Crain Highway SE	Brandywine	Maryland	20613-8081	(301) 372-3200	11/12/08	38.668558	-76.87579
1037	2343 South Telegraph Rd	Bloomfield	Michigan	48302-0254	(248) 836-1601	11/13/08	42.605107	-83.293988
1040	221 S. Randall Rd	St. Charles	Illinois	60174	(630) 549-2022	11/14/08	41.908953	-88.340137
563	222 S Martin Luther King Blvd	Las Vegas	Nevada	89106-4305	(702) 384-6247	2/19/09	36.171045	-115.16097
1050	340 Lakewood Center Mall	Lakewood	California	90712-2409	(562) 295-1506	2/26/09	33.850288	-118.141792
1038	4589 Kapolei Parkway	Kapolei (Oahu)	Hawaii	96707-1879	(808) 674-3900	2/27/09	21.327791	-158.088361
564	12530 Prairie Ave	Hawthorne	California	90250	(310) 220-8826	3/20/09	33.918792	-118.343717
1049	1225 State Hwy 276	Rockwall	Texas	75032	(972) 772-1600	4/8/09	32.907041	-96.444231
569	6333 Telegraph Rd	Commerce	California	90040	(323) 767-2640	7/23/09	33.994864	-118.143066
1058	4570 E Cactus Rd	Phoenix	Arizona	85032	(480) 308-7044	9/18/09	33.59978	-111.98313
1042	2300 Middlefield Rd	Redwood City	California	94063	(650) 568-4040	10/21/09	37.479969	-122.216984
1030	5050 N Nevada Ave	Colorado Springs	Colorado	80918	(719) 264-5010	10/29/09	38.903972	-104.81736
1062	517 E 117th St	New York	New York	10035	(212) 896-5873	11/12/09	40.795707	-73.932252
1060	301 Highlands Blvd Drive	Manchester	Missouri	63011	(636) 686-7400	11/17/09	38.596055	-90.505135
625	16690 Royalton Rd	Strongsville	Ohio	44136	(440) 783-3415	11/18/09	41.313165	-81.817003
1061	28505 Hesperian Blvd	Hayward	California	94545	(510) 921-3126	11/24/09	37.61726	-122.088419
1059	1804 SE Ensign Lane	Warrenton	Oregon	97146	(503) 338-4101	11/25/09	46.14725	-123.917569
1071	13550 W Paxton St	Pacoima	California	91331	(818) 272-2700	3/4/10	34.272487	-118.427676
1070	61-35 Junction Boulevard	Rego Park	New York	11374	(718) 760-6470	7/8/10	40.733389	-73.86409
1073	4141 NE Stephens	Roseburg	Oregon	97470	(541) 378-0020	8/12/10	43.259394	-123.351215
578	7803 Othello Ave	San Diego	California	92111	(858) 810-5833	9/15/10	32.817013	-117.154214
1078	2400 Five Lees Lane	Lanham	Maryland	20706	(301) 341-6740	10/26/10	38.96407	-76.851827
1083	100 Cobb Parkway	Ringgold	Georgia	30742	(706) 891-2577	10/27/10	34.946448	-85.249178
1084	500 Brookhaven Ave	Atlanta	Georgia	30319	(404) 460-1915	10/28/10	33.872015	-84.330505
1085	8400 W North Ave	Melrose Park	Illinois	60160	(708) 397-2905	11/17/10	41.908543	-87.835255
1088	830 E Boughton Rd	Bolingbrook	Illinois	60440	(630) 410-0700	11/18/10	41.723497	-88.038493
1074	25901 Riverwoods Rd	Mettawa	Illinois	60045	(847) 235-1300	11/20/10	42.21935	-87.905949
1087	14050 Burnhaven Dr	Burnsville	Minnesota	55337	(952) 229-6449	11/23/10	44.748879	-93.293251
1086	19610 SE 1st St	Vancouver	Washington	98607	(360) 258-6221	11/24/10	45.621461	-122.471505
